dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,rho,beta
android,mct,0.3,6091.0,23.0,6091.0,6091.0,23.0,5166.0,0.152,0.102,0.391,0.478,0.522,0.609,0.696,0.739,0.913,0.913,1.0,1.0,18273.0,18273.0,18273.0,0.68,0.019,1.0,0.661,0.0,0.661,1.0,1.0,6,1000.0
android,mct,0.4,6091.0,23.0,6091.0,6091.0,23.0,4244.0,0.303,0.265,0.261,0.391,0.478,0.565,0.652,0.652,1.0,1.0,1.0,1.0,18273.0,18273.0,18273.0,0.658,0.021,1.0,0.661,0.0,0.661,1.0,1.0,6,1000.0
android,mct,0.5,6091.0,23.0,6091.0,6091.0,23.0,5181.0,0.149,0.186,0.304,0.348,0.478,0.522,0.652,0.826,0.826,0.957,1.0,1.0,18273.0,18273.0,18273.0,0.653,0.009,1.0,0.661,0.0,0.661,1.0,1.0,6,1000.0
android,mct,1.0,6091.0,23.0,6091.0,6091.0,23.0,5085.0,0.165,0.179,0.261,0.304,0.391,0.522,0.609,0.826,0.826,0.957,1.0,1.0,18273.0,18273.0,18273.0,0.626,0.011,1.0,0.661,0.0,0.661,1.0,1.0,6,1000.0
anttlr4,junit,0.1,5432.0,87.0,1696.0,1696.0,72.0,1682.0,0.0,0.0,0.448,0.747,0.816,0.816,0.816,0.816,0.816,0.816,0.816,0.816,5088.0,6376.276,12559.544,0.756,0.181,0.828,0.028,0.03,0.058,0.8275862068965517,0.3122238586156112,6,1000.0
anttlr4,junit,0.2,5432.0,87.0,4251.0,4251.0,84.0,2867.0,0.0,0.438,0.391,0.506,0.782,0.92,0.931,0.966,0.966,0.966,0.966,0.966,12753.0,12834.448,14524.5,0.8,0.156,0.966,0.175,0.001,0.176,0.9655172413793104,0.7825846833578792,6,1000.0
anttlr4,junit,0.3,5432.0,87.0,2316.0,2316.0,77.0,1733.0,0.0,0.0,0.437,0.54,0.816,0.885,0.885,0.885,0.885,0.885,0.885,0.885,6948.0,7664.322,13167.828,0.775,0.186,0.885,0.052,0.013,0.065,0.8850574712643678,0.4263622974963181,6,1000.0
anttlr4,junit,0.4,5432.0,87.0,2566.0,2566.0,82.0,2405.0,0.0,0.0,0.506,0.701,0.897,0.908,0.908,0.908,0.908,0.908,0.908,0.908,7698.0,8027.425,13071.75,0.835,0.179,0.943,0.064,0.003,0.067,0.9425287356321839,0.4723858615611193,6,1000.0
anttlr4,junit,0.5,5432.0,87.0,2089.0,2089.0,78.0,1673.0,0.0,0.0,0.483,0.724,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,6267.0,6958.655,12926.883,0.807,0.167,0.897,0.042,0.011,0.053,0.896551724137931,0.38457290132547867,6,1000.0
anttlr4,junit,1.0,5432.0,87.0,3144.0,3144.0,82.0,2129.0,0.0,0.0,0.483,0.69,0.851,0.943,0.943,0.943,0.943,0.943,0.943,0.943,9432.0,9694.989,13722.0,0.832,0.14,0.943,0.096,0.003,0.099,0.9425287356321839,0.5787923416789397,6,1000.0
anttlr4,mct,0.1,6091.0,23.0,3846.0,3846.0,16.0,2169.0,0.0,0.0,0.478,0.522,0.609,0.696,0.696,0.696,0.696,0.696,0.696,0.696,11538.0,12904.522,15957.844,0.624,0.019,0.696,0.264,0.093,0.356,0.6956521739130435,0.6314234115908718,6,1000.0
anttlr4,mct,0.2,6091.0,23.0,2316.0,2316.0,14.0,1495.0,0.0,0.0,0.391,0.478,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,6948.0,9902.348,14468.508,0.557,0.056,0.609,0.096,0.153,0.249,0.6086956521739131,0.3802331308487933,6,1000.0
anttlr4,mct,0.3,6091.0,23.0,1232.0,1232.0,12.0,1013.0,0.0,0.0,0.391,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,3696.0,8343.739,13404.51,0.499,0.079,0.522,0.027,0.229,0.256,0.5217391304347826,0.2022656378263011,6,1000.0
anttlr4,mct,0.4,6091.0,23.0,1105.0,1105.0,13.0,637.0,0.0,0.0,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,3315.0,7650.652,13267.523,0.533,0.011,0.565,0.022,0.189,0.211,0.5652173913043478,0.18141520275816778,6,1000.0
anttlr4,mct,0.5,6091.0,23.0,1105.0,1105.0,11.0,1053.0,0.0,0.0,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,3315.0,8517.783,13282.131,0.46,0.057,0.478,0.022,0.272,0.294,0.4782608695652174,0.18141520275816778,6,1000.0
anttlr4,mct,1.0,6091.0,23.0,1105.0,1105.0,11.0,1103.0,0.0,0.0,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,3315.0,8517.783,13282.131,0.461,0.049,0.478,0.022,0.272,0.294,0.4782608695652174,0.18141520275816778,6,1000.0
broadleaf,junit,0.1,5432.0,87.0,3478.0,3478.0,85.0,3133.0,0.0,0.43,0.552,0.655,0.782,0.92,0.943,0.977,0.977,0.977,0.977,0.977,10434.0,10523.839,12388.0,0.847,0.192,0.977,0.117,0.001,0.118,0.9770114942528736,0.6402798232695139,6,1000.0
