dta,spt,bnd,ita,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost
neo4j,0.8,30,1.05,32156.0,151.0,4537.0,1582.0,62.0,3671.0,0.0,0.0,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,7701.0,40258.497,62939.0,0.4,0.05,0.411,0.003,0.347,0.351,0.4105960264900662,0.14109341957954968
neo4j,0.8,50,1.0,32156.0,151.0,4169.0,2439.0,55.0,2705.0,0.0,0.0,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,9047.0,44633.119,65021.0,0.357,0.061,0.364,0.003,0.404,0.407,0.36423841059602646,0.1296492101007588
neo4j,0.8,50,1.05,32156.0,151.0,4169.0,2439.0,55.0,2705.0,0.0,0.0,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,9047.0,44633.119,65021.0,0.357,0.061,0.364,0.003,0.404,0.407,0.36423841059602646,0.1296492101007588
neo4j,0.8,70,1.0,32156.0,151.0,32153.0,3220.0,151.0,30199.0,0.061,0.12,0.424,0.51,0.629,0.682,0.695,0.755,0.808,0.927,0.987,1.0,38593.0,38593.0,38593.0,0.708,0.056,1.0,0.159,0.0,0.159,1.0,0.9999067048140315
neo4j,0.8,70,1.05,32156.0,151.0,32153.0,3220.0,151.0,30199.0,0.061,0.12,0.424,0.51,0.629,0.682,0.695,0.755,0.808,0.927,0.987,1.0,38593.0,38593.0,38593.0,0.708,0.056,1.0,0.159,0.0,0.159,1.0,0.9999067048140315
neo4j,0.8,90,1.0,32156.0,151.0,10285.0,3942.0,92.0,8932.0,0.0,0.0,0.404,0.503,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,18169.0,35260.245,61911.0,0.562,0.062,0.609,0.016,0.153,0.169,0.609271523178808,0.3198469958950118
neo4j,0.8,90,1.05,32156.0,151.0,10285.0,3942.0,92.0,8932.0,0.0,0.0,0.404,0.503,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,18169.0,35260.245,61911.0,0.562,0.062,0.609,0.016,0.153,0.169,0.609271523178808,0.3198469958950118
neo4j,0.8,110,1.0,32156.0,151.0,22548.0,4620.0,136.0,21617.0,0.0,0.0,0.411,0.589,0.675,0.735,0.801,0.854,0.901,0.901,0.901,0.901,31788.0,33696.874,51002.827,0.734,0.063,0.901,0.078,0.01,0.088,0.9006622516556292,0.7012066177385247
neo4j,0.8,110,1.05,32156.0,151.0,22548.0,4620.0,136.0,21617.0,0.0,0.0,0.411,0.589,0.675,0.735,0.801,0.854,0.901,0.901,0.901,0.901,31788.0,33696.874,51002.827,0.734,0.063,0.901,0.078,0.01,0.088,0.9006622516556292,0.7012066177385247
neo4j,1.0,30,1.0,32156.0,151.0,2999.0,1642.0,44.0,1993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6283.0,47604.841,64597.0,0.287,0.065,0.291,0.001,0.502,0.504,0.2913907284768212,0.09326408757308123
neo4j,1.0,30,1.05,32156.0,151.0,2999.0,1642.0,44.0,1993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6283.0,47604.841,64597.0,0.287,0.065,0.291,0.001,0.502,0.504,0.2913907284768212,0.09326408757308123
neo4j,1.0,50,1.0,32156.0,151.0,4704.0,2539.0,56.0,3492.0,0.0,0.0,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,9782.0,44324.252,64686.0,0.361,0.069,0.371,0.003,0.396,0.399,0.3708609271523179,0.14628685159845753
neo4j,1.0,50,1.05,32156.0,151.0,4704.0,2539.0,56.0,3492.0,0.0,0.0,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,9782.0,44324.252,64686.0,0.361,0.069,0.371,0.003,0.396,0.399,0.3708609271523179,0.14628685159845753
neo4j,1.0,70,1.0,32156.0,151.0,10007.0,3360.0,79.0,8936.0,0.0,0.0,0.384,0.417,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,16727.0,37849.225,61025.0,0.484,0.075,0.523,0.015,0.227,0.243,0.5231788079470199,0.31120164199527306
neo4j,1.0,70,1.05,32156.0,151.0,10007.0,3360.0,79.0,8936.0,0.0,0.0,0.384,0.417,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,16727.0,37849.225,61025.0,0.484,0.075,0.523,0.015,0.227,0.243,0.5231788079470199,0.31120164199527306
neo4j,1.0,90,1.0,32156.0,151.0,31933.0,4122.0,151.0,30326.0,0.057,0.073,0.344,0.497,0.576,0.642,0.695,0.821,0.854,0.934,0.947,0.947,40177.0,40177.0,40177.0,0.698,0.084,1.0,0.157,0.0,0.157,1.0,0.9930650578430154
neo4j,1.0,90,1.05,32156.0,151.0,31933.0,4122.0,151.0,30326.0,0.057,0.073,0.344,0.497,0.576,0.642,0.695,0.821,0.854,0.934,0.947,0.947,40177.0,40177.0,40177.0,0.698,0.084,1.0,0.157,0.0,0.157,1.0,0.9930650578430154
neo4j,1.0,110,1.0,32156.0,151.0,9853.0,4840.0,88.0,7917.0,0.0,0.0,0.417,0.536,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,19533.0,38143.45,64139.0,0.548,0.061,0.583,0.015,0.174,0.189,0.5827814569536424,0.3064124891155616
neo4j,1.0,110,1.05,32156.0,151.0,9853.0,4840.0,88.0,7917.0,0.0,0.0,0.417,0.536,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,19533.0,38143.45,64139.0,0.548,0.061,0.583,0.015,0.174,0.189,0.5827814569536424,0.3064124891155616
